"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_af-za.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_af.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_agq-cm.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_agq.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ak-gh.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ak.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_am-et.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_am.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-001.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ae.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-bh.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-dj.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-dz.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-eg.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-eh.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-er.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-il.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-iq.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-jo.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-km.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-kw.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-lb.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ly.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ma.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-mr.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-om.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ps.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-qa.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-sa.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-sd.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-so.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ss.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-sy.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-td.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-tn.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar-ye.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ar.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_as-in.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_as.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_asa-tz.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_asa.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ast-es.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_ast.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_az-cyrl-az.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_az-cyrl.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_az-latn-az.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_az-latn.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_az.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bas-cm.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bas.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_be-by.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_be.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bem-zm.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bem.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bez-tz.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bez.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bg-bg.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bg.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bm-latn-ml.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bm-latn.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bm-ml.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bm.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bn-bd.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bn-in.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bn.js",98,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_bo-cn.js",116,0,2,2,0
