"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/numberSymbolsExt.js",12375,0,0,0,0,516,0,0,0,0,0,0,0,0,"0 516 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/pluralRules.js",1121,39,0,39,0,25,0,0,0,0,0,0,0,0,"0 3 22 0 0 0 0 0 0 0 0",2,"0 1 38 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/e2e/i18n-e2e.js",186,31,0,31,0,261,0,0,0,0,0,0,0,0,"32 204 25 0 0 0 0 0 0 0 0",2,"31 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/closureI18nExtractorSpec.js",267,18,1,17,0,68,2,0,0,0,0,0,0,0,"6 38 23 1 0 0 0 0 0 0 0",3,"18 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/converterSpec.js",54,4,0,4,0,48,1,0,0,0,0,0,0,0,"0 42 6 0 0 0 0 0 0 0 0",2,"4 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/parserSpec.js",54,4,1,3,0,40,1,0,0,0,0,0,0,0,"0 20 3 0 0 0 0 0 0 0 17",10,"3 0 0 0 0 0 0 0 0 0 1",10
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/spec/utilSpec.js",15,2,0,2,0,24,1,0,0,0,0,0,0,0,"5 10 9 0 0 0 0 0 0 0 0",2,"2 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/closureI18nExtractor.js",231,14,10,4,0,50,1,0,0,0,0,0,0,0,"7 27 15 1 0 0 0 0 0 0 0",3,"2 5 6 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/closureSlurper.js",107,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/converter.js",58,2,2,0,0,4,1,0,0,0,0,0,0,0,"0 4 0 0 0 0 0 0 0 0 0",1,"0 1 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/parser.js",65,1,1,0,0,11,0,0,0,0,0,0,0,0,"0 7 4 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/src/util.js",8,1,0,1,1,2,0,0,0,0,0,0,0,0,"0 2 0 0 0 0 0 0 0 0 0",1,"0 0 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-docs.conf.js",22,1,0,1,0,3,1,0,0,0,0,0,0,0,"0 2 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-jqlite.conf.js",19,1,0,1,0,6,2,0,0,0,0,0,0,0,"0 5 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-jquery.conf.js",19,1,0,1,0,6,2,0,0,0,0,0,0,0,"0 5 1 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-modules.conf.js",18,1,0,1,0,5,2,0,0,0,0,0,0,0,"0 3 2 0 0 0 0 0 0 0 0",2,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/karma-shared.conf.js",179,4,0,4,0,12,2,0,0,0,0,0,0,0,"1 9 2 0 0 0 0 0 0 0 0",2,"0 3 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/browser-stack/start-tunnel.js",49,5,0,5,0,19,4,0,0,1,0,0,0,0,"1 14 4 0 0 0 0 0 0 0 0",2,"1 4 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/grunt/utils.js",344,29,2,27,0,143,7,0,1,0,0,0,0,0,"13 82 45 3 0 0 0 0 0 0 0",3,"6 10 8 5 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/htmlparser/htmlparser.js",309,19,3,16,0,70,0,0,0,0,0,0,0,0,"13 40 15 2 0 0 0 0 0 0 0",3,"3 8 5 2 1 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/lib/promises-aplus/promises-aplus-test-adapter.js",27,7,0,7,5,3,0,0,0,0,0,0,0,0,"1 1 1 0 0 0 0 0 0 0 0",2,"3 3 1 0 0 0 0 0 0 0 0",2
